Title,Author,Genre,Year,Status
To Kill a Mockingbird,Harper Lee,Fiction,1960,Available
1984,George Orwell,Dystopian,1949,Checked Out
The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,Available
Pride and Prejudice,Jane Austen,Romance,1813,Available
The Hobbit,J.R.R. Tolkien,Fantasy,1937,Checked Out
Moby Dick,Herman Melville,Fiction,1851,Available
War and Peace,Leo Tolstoy,Historical,1869,Checked Out
Jane Eyre,Charlotte Bronte,Gothic,1847,Available
Crime and Punishment,Fyodor Dostoevsky,Philosophical,1866,Checked Out
Brave New World,Aldous Huxley,Dystopian,1932,Available
Wuthering Heights,Emily Bronte,Gothic,1847,Checked Out
The Odyssey,Homer,Epic,800,Available
Catch-22,Joseph Heller,Satire,1961,Available
The Catcher in the Rye,J.D. Salinger,Fiction,1951,Checked Out
Les Miserables,Victor Hugo,Historical,1862,Available
Animal Farm,George Orwell,Satire,1945,Available
Frankenstein,Mary Shelley,Gothic,1818,Checked Out
The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Available
Don Quixote,Miguel de Cervantes,Adventure,1605,Available
The Divine Comedy,Dante Alighieri,Religious,1320,Checked Out
The Iliad,Homer,Epic,750,Available
Dracula,Bram Stoker,Gothic,1897,Checked Out
The Stranger,Albert Camus,Philosophical,1942,Available
The Trial,Franz Kafka,Absurdist,1925,Available
Heart of Darkness,Joseph Conrad,Fiction,1899,Checked Out
Great Expectations,Charles Dickens,Fiction,1861,Available
Rebecca,Daphne du Maurier,Gothic,1938,Checked Out
A Tale of Two Cities,Charles Dickens,Historical,1859,Available
The Alchemist,Paulo Coelho,Fantasy,1988,Available
Fahrenheit 451,Ray Bradbury,Dystopian,1953,Checked Out
},,,,